AAPL|Apple Inc. - UPDATED|stock|טיקר מעודכן|USD|0|1|2025-08-15 03:51:43|2025-08-15 03:51:43
GOOGL|Alphabet Inc.|stock|טכנולוגיה|USD|0|2|2025-08-15 03:51:43|2025-08-15 03:51:43
MSFT|Microsoft Corporation|stock|טכנולוגיה|USD|0|3|2025-08-15 03:51:43|2025-08-15 03:51:43
TSLA|Tesla Inc.|stock|רכב חשמלי|USD|0|4|2025-08-15 03:51:43|2025-08-15 03:51:43
NVDA|NVIDIA Corporation|stock|צ'יפים|USD|0|5|2025-08-15 03:51:43|2025-08-15 03:51:43
AMZN|Amazon.com Inc.|stock|מסחר אלקטרוני|USD|1|6|2025-08-15 03:51:43|2025-08-15 03:51:43
META|Meta Platforms Inc.|stock|מדיה חברתית|USD|0|7|2025-08-15 03:51:43|2025-08-15 03:51:43
NFLX|Netflix Inc.|stock|סטרימינג|USD|0|8|2025-08-15 03:51:43|2025-08-15 03:51:43
SPY|SPDR S&P 500 ETF|etf|ETF מדד S&P 500|USD|0|9|2025-08-15 03:51:43|2025-08-15 03:51:43
